locality,student_score,family_score,inventory_score,density_score,rent_score,overall_score
Marathahalli,78.68299999999999,39.0,39.0,77.2,95.69,46.64
Nagavara,67.69099999999999,6.0,6.0,34.13,94.13,11.626000000000001
Rt Nager,66.791,3.0,3.0,21.53,94.13,6.706
Mahadevapura,84.136,60.0,60.0,84.13,94.48,64.826
Chinnapanna Halli,68.289,3.0,3.0,21.53,96.27,6.706
Btm Layout 2Nd Stage,70.404,9.0,9.0,43.07,96.72,15.814
Sahakar Nagar,52.419999999999995,3.0,3.0,21.53,73.6,6.706
Kuthaganahalli,66.04899999999999,3.0,3.0,21.53,93.07,6.706
Murugeshpalya,71.82300000000001,18.0,18.0,60.45,94.89,26.490000000000002
Kaikondrahalli,65.3,3.0,3.0,21.53,92.0,6.706
Btm 1St Stage,65.3,3.0,3.0,21.53,92.0,6.706
Cox Town,66.791,3.0,3.0,21.53,94.13,6.706
Gottigere,67.96799999999999,9.0,9.0,43.07,93.24,15.814
Neeladri Nagar Bengaluru,69.031,3.0,3.0,21.53,97.33,6.706
Ganapathipura,68.065,3.0,3.0,21.53,95.95,6.706
Kamala Nagar,68.289,3.0,3.0,21.53,96.27,6.706
Judicial Layout,68.66,3.0,3.0,21.53,96.8,6.706
Banaswadi,72.91199999999999,21.0,21.0,60.45,95.16,28.89
Shantipura Main,68.94,3.0,3.0,21.53,97.2,6.706
Ashok Nagar,61.251,6.0,6.0,34.13,84.93,11.626000000000001
Battarahalli,70.74,9.0,9.0,43.07,97.2,15.814
Yelahanka,67.471,9.0,9.0,43.07,92.53,15.814
Vijinapura,67.82,3.0,3.0,21.53,95.6,6.706
Sinthan Nagar,59.699999999999996,3.0,3.0,21.53,84.0,6.706
Electronic City Phase 2,67.13099999999999,6.0,6.0,21.53,93.33,9.106000000000002
Kalyan Nagar,63.49099999999999,6.0,6.0,34.13,88.13,11.626000000000001
Sir M V Nagar,70.009,12.0,12.0,50.0,94.87,19.6
Btm Layout,76.22099999999999,30.0,30.0,74.49,96.03,38.897999999999996
Electronic City Phase Ii,68.99999999999999,6.0,6.0,34.13,96.0,11.626000000000001
Rr Nagar,68.44,6.0,6.0,34.13,95.2,11.626000000000001
Kaggadasapura,72.80300000000001,18.0,18.0,60.45,96.29,26.490000000000002
Annapurneshwari Nagar,67.54,3.0,3.0,21.53,95.2,6.706
Doddaballapur,68.84899999999999,3.0,3.0,21.53,97.07,6.706
Kamakshipalya,67.169,3.0,3.0,21.53,94.67,6.706
Ombr Layout,65.3,3.0,3.0,21.53,92.0,6.706
Shanti Nagar,68.409,9.0,9.0,43.07,93.87,15.814
Domlur Layout,67.226,9.0,9.0,43.07,92.18,15.814
Hegganahalli,69.031,3.0,3.0,21.53,97.33,6.706
Nagarbhavi,68.90599999999999,9.0,9.0,34.13,94.58,14.026
Rajajinagar,72.057,15.0,15.0,50.0,96.51,22.0
Nri Layout,70.63099999999999,6.0,6.0,34.13,98.33,11.626000000000001
Btm 4Th Stage,66.231,3.0,3.0,21.53,93.33,6.706
Doddanekundi,67.46,6.0,6.0,34.13,93.8,11.626000000000001
Richmond Town,64.369,3.0,3.0,21.53,90.67,6.706
Mathikere,69.22,3.0,3.0,21.53,97.6,6.706
Sampangiram Nagar,62.74899999999999,6.0,6.0,34.13,87.07,11.626000000000001
Kannamangala,66.94899999999998,6.0,6.0,34.13,93.07,11.626000000000001
Itpl,69.159,15.0,15.0,50.0,92.37,22.0
J. P. Nagar,73.738,21.0,21.0,64.6,96.34,29.72
Bagalakunte,69.871,3.0,3.0,21.53,98.53,6.706
Sarjapur Road Wipro To Railway Crossing,68.41999999999999,12.0,12.0,50.0,92.6,19.6
Hebbal,66.40100000000001,15.0,15.0,55.66,88.43,23.131999999999998
Budigere Cross,68.16,6.0,6.0,34.13,94.8,11.626000000000001
Vidyaranyapura,71.02,9.0,9.0,43.07,97.6,15.814
9Th Block Jayanagar,68.471,3.0,3.0,21.53,96.53,6.706
Yelahanka New Town,67.169,3.0,3.0,21.53,94.67,6.706
Gunjur,67.911,3.0,3.0,21.53,95.73,6.706
Subramanyapura,66.75999999999999,6.0,6.0,34.13,92.8,11.626000000000001
Indira Nagar,79.356,45.0,45.0,84.13,94.08,52.826
Hanumanthanagar Bangalore,68.90899999999999,6.0,6.0,34.13,95.87,11.626000000000001
Bettadasapura,69.78,3.0,3.0,21.53,98.4,6.706
Kalkereagara Main Road,67.82,3.0,3.0,21.53,95.6,6.706
Bagalur,68.66,3.0,3.0,21.53,96.8,6.706
Cambridge Layout,65.86,3.0,3.0,21.53,92.8,6.706
Akshayanagar,68.1,3.0,3.0,21.53,96.0,6.706
Electronic City Phase 1,74.467,27.0,27.0,68.26,94.81,35.252
Hennur,67.786,9.0,9.0,43.07,92.98,15.814
Frazer Town,70.05999999999999,24.0,24.0,64.6,89.8,32.120000000000005
Sarjapur Road Post Railway Crossing,67.96799999999999,9.0,9.0,43.07,93.24,15.814
Sarjapur,65.489,3.0,3.0,21.53,92.27,6.706
Narayanapura On Hennur Main Road,65.3,3.0,3.0,21.53,92.0,6.706
Bennigana Halli,68.251,6.0,6.0,34.13,94.93,11.626000000000001
Hosa Road,66.42,3.0,3.0,21.53,93.6,6.706
Avalahalli Off Sarjapur Road,66.60900000000001,3.0,3.0,21.53,93.87,6.706
Chikka Banaswadi Banasawadi,68.009,3.0,3.0,21.53,95.87,6.706
Kadugodi,75.64999999999999,27.0,27.0,68.26,96.5,35.252
State Bank Of India Colony,60.81999999999999,3.0,3.0,21.53,85.6,6.706
Arakere,69.371,6.0,6.0,34.13,96.53,11.626000000000001
Jp Nagar,66.56,3.0,3.0,21.53,93.8,6.706
Hbr Layout,69.068,15.0,15.0,55.66,92.24,23.131999999999998
Byatarayanapura,69.169,12.0,12.0,50.0,93.67,19.6
Hsr Layout,90.461,84.0,84.0,100.0,93.23,87.2
Nagawara,66.53999999999999,9.0,9.0,43.07,91.2,15.814
Kadugodi Industrial Area,70.06,3.0,3.0,21.53,98.8,6.706
"Reliable Residency Layout, Phase 3",68.62899999999999,6.0,6.0,34.13,95.47,11.626000000000001
Bommanahalli,68.71999999999998,6.0,6.0,34.13,95.6,11.626000000000001
Virupakshapura,68.289,3.0,3.0,21.53,96.27,6.706
Cooke Town,72.26199999999999,27.0,27.0,60.45,91.66,33.690000000000005
Kumaraswamy Layout,70.39699999999999,9.0,9.0,43.07,96.71,15.814
Kadirenahalli,66.791,3.0,3.0,21.53,94.13,6.706
Kasturi Nagar,68.1,3.0,3.0,21.53,96.0,6.706
Amruthahalli,69.22,3.0,3.0,21.53,97.6,6.706
Thanisandra,70.36,18.0,18.0,60.45,92.8,26.490000000000002
Wilson Garden,68.1,3.0,3.0,21.53,96.0,6.706
Varthur,68.969,9.0,9.0,43.07,94.67,15.814
Dooravani Nagar,68.409,9.0,9.0,21.53,93.87,11.506
Ramamurthy Nagar,70.18,9.0,9.0,43.07,96.4,15.814
Basaveswarnagar,69.368,9.0,9.0,43.07,95.24,15.814
Harlur,69.64499999999998,12.0,12.0,43.07,94.35,18.214000000000002
Hal,69.837,9.0,9.0,34.13,95.91,14.026
Sarjapur Road Till Wipro,65.545,3.0,3.0,21.53,92.35,6.706
Basavanagudi,47.53099999999999,6.0,6.0,34.13,65.33,11.626000000000001
Jp Nagar Phase 8,67.97099999999999,6.0,6.0,34.13,94.53,11.626000000000001
Electronics City,75.99299999999998,27.0,27.0,68.26,96.99,35.252
Prithvi Layout,66.42,3.0,3.0,21.53,93.6,6.706
Bagaluru Near Yelahanka,37.3,3.0,3.0,21.53,52.0,6.706
Kadubeesanahalli,71.30399999999999,12.0,12.0,21.53,96.72,13.906000000000002
Munnekollal,72.59599999999999,15.0,15.0,55.66,97.28,23.131999999999998
Hebbal Kempapura,64.369,3.0,3.0,21.53,90.67,6.706
Attibele,70.071,6.0,6.0,34.13,97.53,11.626000000000001
25Th B Main Rd,67.449,3.0,3.0,21.53,95.07,6.706
Srirampuram,66.42,3.0,3.0,21.53,93.6,6.706
Krishnarajapura,75.829,30.0,30.0,74.49,95.47,38.897999999999996
Malleshwaram 11Th Cross,68.84899999999999,3.0,3.0,21.53,97.07,6.706
Amruthahalli Main Road,66.231,3.0,3.0,21.53,93.33,6.706
Kartik Nagar,73.33899999999998,21.0,21.0,43.07,95.77,25.414
Malleswaram,66.231,3.0,3.0,21.53,93.33,6.706
Vijayanagar,71.146,9.0,9.0,34.13,97.78,14.026
Veerabhadra Nagar,65.3,3.0,3.0,21.53,92.0,6.706
Whitefield Hope Farm Junction,74.77199999999999,30.0,30.0,74.49,93.96,38.897999999999996
Chikkagubbi On Hennur Main Road,65.86,3.0,3.0,21.53,92.8,6.706
Jp Nagar Phase 9,69.96900000000001,3.0,3.0,21.53,98.67,6.706
Marsur,69.5,3.0,3.0,21.53,98.0,6.706
Jeevan Bima Nagar,66.42,3.0,3.0,21.53,93.6,6.706
Vinayakanagar,68.38000000000001,3.0,3.0,21.53,96.4,6.706
Uttarahalli Hobli,68.289,3.0,3.0,21.53,96.27,6.706
Nagondanahalli,69.22,3.0,3.0,21.53,97.6,6.706
New Thippasandra,68.16,6.0,6.0,34.13,94.8,11.626000000000001
Hesaraghatta,66.98,3.0,3.0,21.53,94.4,6.706
Neelasandra,69.129,3.0,3.0,21.53,97.47,6.706
Kodigehalli,69.129,3.0,3.0,21.53,97.47,6.706
Nelamangala,65.26899999999999,6.0,6.0,34.13,90.67,11.626000000000001
